"","dateTime","station","freqCode","code","power","latitude","longitude","tagDateTime","sex","forkLength"
"1",2024-09-04 17:44:30,"Mobile","149.500 002","002",82,53.8585067,-127.768465,2024-07-12,NA,NA
"2",2024-09-06 18:40:01,"Mobile","149.500 026","026",101,54.0338217,-127.7682733,2024-07-17,NA,NA
"3",2024-09-06 18:40:06,"Mobile","149.500 026","026",93,54.034905,-127.7682883,2024-07-17,NA,NA
"4",2024-09-06 18:42:54,"Mobile","149.500 043","043",79,54.02604,-127.8222,2024-07-19,NA,NA
"5",2024-09-06 18:45:08,"Mobile","149.500 058","058",65,54.0195233,-127.82069,2024-07-23,NA,NA
"6",2024-09-06 19:23:48,"Mobile","149.500 080","080",93,53.8398833,-127.8325617,2024-07-24,"M",62
"7",2024-09-06 19:23:49,"Mobile","149.500 001","001",87,53.8397383,-127.8327233,2024-07-12,NA,NA
"8",2024-09-06 19:23:50,"Mobile","149.500 001","001",88,53.8395883,-127.8328583,2024-07-12,NA,NA
"9",2024-09-06 19:23:51,"Mobile","149.500 001","001",81,53.8395883,-127.8328583,2024-07-12,NA,NA
"10",2024-09-06 19:23:53,"Mobile","149.500 002","002",67,53.8392633,-127.8330383,2024-07-12,NA,NA
"11",2024-09-06 19:23:58,"Mobile","149.500 018","018",87,53.8382467,-127.83283,2024-07-16,NA,NA
"12",2024-09-06 19:52:54,"Mobile","149.500 065","065",81,53.871795,-127.7375167,2024-07-22,NA,NA
"13",2024-09-06 19:52:55,"Mobile","149.500 062","062",87,53.87201,-127.7373517,2024-07-22,NA,NA
"14",2024-09-06 20:04:58,"Mobile","149.500 066","066",87,53.9423083,-127.4534417,2024-07-22,NA,NA
"15",2024-09-06 20:11:55,"Mobile","149.500 073","073",76,53.9423083,-127.4534417,2024-07-25,"M",60
"16",2024-09-06 20:57:30,"Mobile","149.320 114","114",90,53.9410783,-127.4537717,2024-07-31,"F",55
"17",2024-09-06 20:57:31,"Mobile","149.320 103","103",117,53.9409333,-127.4538467,2024-07-26,"F",49
"18",2024-09-06 20:57:39,"Mobile","149.500 073","073",98,53.9397267,-127.4544367,2024-07-25,"M",60
"19",2024-09-06 20:57:44,"Mobile","149.500 073","073",104,53.9391167,-127.453965,2024-07-25,"M",60
"20",2024-09-06 20:57:45,"Mobile","149.500 051","051",79,53.939025,-127.4537517,2024-07-22,NA,NA
"21",2024-09-06 20:57:45,"Mobile","149.500 071","071",82,53.939025,-127.4537517,2024-07-25,"M",63
"22",2024-09-06 20:58:28,"Mobile","149.320 148","148",95,53.9476717,-127.45334,2024-08-08,"M",55
"23",2024-09-06 20:58:33,"Mobile","149.500 054","054",99,53.94852,-127.4542783,2024-07-22,NA,NA
"24",2024-09-06 20:58:35,"Mobile","149.500 053","053",86,53.9489233,-127.4549933,2024-07-22,NA,NA
"25",2024-09-06 20:58:37,"Mobile","149.500 077","077",76,53.9491517,-127.455465,2024-07-24,"M",61
"26",2024-09-06 20:58:39,"Mobile","149.500 064","064",82,53.949255,-127.4556883,2024-07-22,NA,NA
"27",2024-09-06 20:58:39,"Mobile","149.500 092","092",88,53.9493533,-127.4558983,2024-07-23,"M",60
"28",2024-09-06 20:58:40,"Mobile","149.500 053","053",114,53.94945,-127.4561067,2024-07-22,NA,NA
"29",2024-09-06 20:58:41,"Mobile","149.500 072","072",89,53.9495367,-127.4563117,2024-07-25,"F",54
"30",2024-09-06 20:58:42,"Mobile","149.500 028","028",105,53.949625,-127.45652,2024-07-18,NA,NA
"31",2024-09-06 20:59:04,"Mobile","149.500 055","055",103,53.951445,-127.4578217,2024-07-22,NA,NA
"32",2024-09-06 20:59:05,"Mobile","149.500 078","078",93,53.9515717,-127.457795,2024-07-24,"F",56
"33",2024-09-06 20:59:26,"Mobile","149.500 033","033",97,53.9533233,-127.4570733,2024-07-18,NA,NA
"34",2024-09-06 20:59:33,"Mobile","149.500 001","001",84,53.9524567,-127.4573667,2024-07-12,NA,NA
"35",2024-09-06 20:59:42,"Mobile","149.320 104","104",98,53.95158,-127.4576633,2024-07-29,"F",53
"36",2024-09-06 20:59:47,"Mobile","149.320 104","104",83,53.951285,-127.4577217,2024-07-29,"F",53
"37",2024-09-06 21:55:16,"Mobile","149.500 092","092",107,53.9500217,-127.45678,2024-07-23,"M",60
"38",2024-09-06 21:55:20,"Mobile","149.500 072","072",76,53.94991,-127.4564383,2024-07-25,"F",54
"39",2024-09-06 21:55:21,"Mobile","149.500 092","092",95,53.9498017,-127.4561433,2024-07-23,"M",60
"40",2024-09-06 21:55:26,"Mobile","149.320 119","119",80,53.9495133,-127.45516,2024-08-01,"F",52
"41",2024-09-06 21:55:27,"Mobile","149.320 120","120",93,53.94945,-127.45495,2024-08-01,"M",55
"42",2024-09-06 21:55:29,"Mobile","149.320 115","115",80,53.9492717,-127.4546117,2024-08-01,"F",54
"43",2024-09-06 21:55:30,"Mobile","149.320 113","113",95,53.94917,-127.45451,2024-07-31,"M",57
"44",2024-09-06 21:55:31,"Mobile","149.320 148","148",90,53.949045,-127.4544617,2024-08-08,"M",55
"45",2024-09-06 21:55:35,"Mobile","149.320 113","113",98,53.9488133,-127.455105,2024-07-31,"M",57
"46",2024-09-06 21:55:36,"Mobile","149.320 148","148",94,53.9488483,-127.4553733,2024-08-08,"M",55
"47",2024-09-06 21:55:37,"Mobile","149.320 111","111",92,53.948915,-127.455615,2024-07-31,"M",56
"48",2024-09-06 21:55:40,"Mobile","149.500 077","077",88,53.94918,-127.456015,2024-07-24,"M",61
"49",2024-09-06 21:55:41,"Mobile","149.500 091","091",81,53.9495383,-127.4563633,2024-07-23,"M",59
"50",2024-09-06 21:55:42,"Mobile","149.500 089","089",89,53.94973,-127.4565467,2024-07-30,"M",64
"51",2024-09-06 21:55:43,"Mobile","149.500 053","053",90,53.9499333,-127.45673,2024-07-22,NA,NA
"52",2024-09-06 21:55:45,"Mobile","149.500 081","081",89,53.9503333,-127.457065,2024-07-25,"M",55
"53",2024-09-06 21:55:48,"Mobile","149.500 078","078",71,53.95092,-127.4574233,2024-07-24,"F",56
"54",2024-09-06 21:55:51,"Mobile","149.500 055","055",91,53.9514967,-127.4573867,2024-07-22,NA,NA
"55",2024-09-06 21:56:10,"Mobile","149.500 080","080",95,53.9550683,-127.4573783,2024-07-24,"M",62
"56",2024-09-06 21:56:14,"Mobile","149.500 074","074",81,53.9557467,-127.45795,2024-07-25,"M",57
"57",2024-09-06 21:56:54,"Mobile","149.320 122","122",84,53.9593067,-127.4555717,2024-08-02,"F",58
"58",2024-09-06 21:57:37,"Mobile","149.500 095","095",137,53.9654417,-127.4568467,2024-07-24,"F",57
"59",2024-09-06 21:57:42,"Mobile","149.500 095","095",99,53.9661917,-127.4571817,2024-07-24,"F",57
"60",2024-09-06 21:59:04,"Mobile","149.500 052","052",88,53.980865,-127.4557583,2024-07-22,NA,NA
"61",2024-09-06 21:59:09,"Mobile","149.500 052","052",86,53.981465,-127.45452,2024-07-22,NA,NA
"62",2024-09-06 22:00:38,"Mobile","149.320 107","107",125,54.0012717,-127.46068,2024-07-25,NA,NA
"63",2024-09-06 22:00:48,"Mobile","149.500 067","067",109,54.003115,-127.4618267,2024-07-23,NA,NA
"64",2024-09-06 22:00:53,"Mobile","149.500 067","067",85,54.0039083,-127.463135,2024-07-23,NA,NA
"65",2024-09-06 22:03:52,"Mobile","149.320 118","118",89,54.0435383,-127.4297917,2024-08-01,NA,57
"66",2024-09-06 22:03:58,"Mobile","149.320 142","142",78,54.0452433,-127.4277467,2024-08-08,NA,NA
"67",2024-09-06 22:05:19,"Mobile","149.320 106","106",95,54.0626683,-127.42919,2024-07-25,NA,NA
"68",2024-09-25 18:07:30,"Mobile","149.500 026","026",117,54.02468,-127.8186217,2024-07-17,NA,NA
"69",2024-09-25 18:07:35,"Mobile","149.500 026","026",151,54.02468,-127.8186217,2024-07-17,NA,NA
"70",2024-09-25 18:08:06,"Mobile","149.500 034","034",130,54.02468,-127.8186217,2024-07-18,NA,NA
"71",2024-09-25 18:08:51,"Mobile","149.500 029","029",85,54.02468,-127.8186217,2024-07-18,NA,NA
"72",2024-09-25 18:10:48,"Mobile","149.500 032","032",80,54.02468,-127.8186217,2024-07-18,NA,NA
"73",2024-09-25 18:12:10,"Mobile","149.500 043","043",82,54.02468,-127.8186217,2024-07-19,NA,NA
"74",2024-09-25 18:12:13,"Mobile","149.500 032","032",111,54.02468,-127.8186217,2024-07-18,NA,NA
"75",2024-09-25 18:12:15,"Mobile","149.500 043","043",86,54.02515,-127.8215467,2024-07-19,NA,NA
"76",2024-09-25 18:12:20,"Mobile","149.500 043","043",86,54.0247367,-127.8200317,2024-07-19,NA,NA
"77",2024-09-25 18:12:22,"Mobile","149.500 045","045",83,54.0245417,-127.8156833,2024-07-19,NA,NA
"78",2024-09-25 18:12:34,"Mobile","149.500 045","045",91,54.0269567,-127.8130633,2024-07-19,NA,NA
"79",2024-09-25 18:13:55,"Mobile","149.500 029","029",103,54.034285,-127.7878967,2024-07-18,NA,NA
"80",2024-09-25 18:14:00,"Mobile","149.500 029","029",111,54.0345883,-127.78616,2024-07-18,NA,NA
"81",2024-09-25 18:14:05,"Mobile","149.500 029","029",86,54.0349317,-127.7845783,2024-07-18,NA,NA
"82",2024-09-25 18:14:24,"Mobile","149.500 025","025",100,54.036265,-127.7791467,2024-07-17,NA,NA
"83",2024-09-25 18:14:26,"Mobile","149.500 034","034",90,54.0363167,-127.778565,2024-07-18,NA,NA
"84",2024-09-25 18:14:29,"Mobile","149.500 025","025",106,54.03634,-127.777705,2024-07-17,NA,NA
"85",2024-09-25 18:14:32,"Mobile","149.500 034","034",98,54.0363233,-127.7771233,2024-07-18,NA,NA
"86",2024-09-25 18:14:34,"Mobile","149.500 025","025",114,54.0361933,-127.7761883,2024-07-17,NA,NA
"87",2024-09-25 18:14:42,"Mobile","149.500 034","034",125,54.0361117,-127.7736917,2024-07-18,NA,NA
"88",2024-09-25 18:14:44,"Mobile","149.500 025","025",97,54.0362167,-127.7732033,2024-07-17,NA,NA
"89",2024-09-25 18:14:47,"Mobile","149.500 034","034",92,54.036145,-127.7723483,2024-07-18,NA,NA
"90",2024-09-25 18:15:01,"Mobile","149.500 008","008",99,54.0355483,-127.7689217,2024-07-15,NA,NA
"91",2024-09-25 18:15:02,"Mobile","149.500 002","002",80,54.035515,-127.768705,2024-07-12,NA,NA
"92",2024-09-25 18:15:07,"Mobile","149.500 026","026",115,54.0351883,-127.7678783,2024-07-17,NA,NA
"93",2024-09-25 18:15:12,"Mobile","149.500 026","026",106,54.03459,-127.7675817,2024-07-17,NA,NA
"94",2024-09-25 18:15:17,"Mobile","149.500 026","026",113,54.0340533,-127.768,2024-07-17,NA,NA
"95",2024-09-25 18:15:28,"Mobile","149.500 026","026",80,54.032955,-127.7693783,2024-07-17,NA,NA
"96",2024-09-25 18:15:30,"Mobile","149.500 010","010",89,54.0326517,-127.76942,2024-07-16,NA,NA
"97",2024-09-25 18:15:33,"Mobile","149.500 026","026",77,54.03204,-127.7693833,2024-07-17,NA,NA
"98",2024-09-25 18:16:22,"Mobile","149.500 039","039",79,54.0275283,-127.7614233,2024-07-18,NA,NA
"99",2024-09-25 18:16:28,"Mobile","149.500 039","039",81,54.0281117,-127.7608517,2024-07-18,NA,NA
"100",2024-09-25 18:16:33,"Mobile","149.500 039","039",97,54.0287767,-127.75972,2024-07-18,NA,NA
"101",2024-09-25 18:18:54,"Mobile","149.500 025","025",80,54.032185,-127.78002,2024-07-17,NA,NA
"102",2024-09-25 18:22:23,"Mobile","149.500 098","098",82,54.02045,-127.83188,2024-07-24,"M",54
"103",2024-09-25 19:48:29,"Mobile","149.500 041","041",92,53.8621183,-127.79017,2024-07-19,NA,NA
"104",2024-09-25 20:20:11,"Mobile","149.500 015","015",85,53.85862,-127.7695983,2024-07-22,NA,NA
"105",2024-09-25 20:21:32,"Mobile","149.500 024","024",109,53.8723117,-127.7374383,2024-07-17,NA,NA
